檔名,揮拍軌跡正確度,揮拍速度流暢度,手腕轉動時機正確度,擊球時機正確度,擊球位置正確度,評語
h163,2,2,1,2,2,"握拍錯誤，揮拍動作不完整，擊球時未使用手腕，擊球時間及位置誤差大"
h164,2,3,2,3,2,"揮拍動作不完整，擊球時手腕使用較少，擊球位置誤差大"
h165,5,3,3,3,2,"揮拍不夠流暢，擊球位置誤差大"
h166,4,3,3,4,4,"擊球時手臂擺速可再加快，可提升揮拍流暢性"
h167,5,5,4,4,3,"擊球點偏低"
h168,4,3,3,4,3,"擊球時可加快手臂擺速，提升揮拍流暢度，擊球點誤差較大"
h170,3,2,1,1,2,"揮拍動作不夠完整，揮拍動作不流暢，擊球時未使用手腕，擊球時間及位置誤差大"
h171,4,3,2,3,2,"輝拍不夠流暢，擊球時手腕使用較少，擊球點誤差較大"
h172,3,3,2,2,3,"揮拍動作不夠完整，擊球時間誤差較大，導致常常打不到球"
h173,5,5,5,5,5,"標準"
h174,5,5,5,5,5,"標準"
h175,5,3,2,4,4,"擊球時可加快手臂擺速，提升揮拍流暢度，擊球時手腕使用較少"
h176,5,3,5,5,5,"擊球時可加快手臂擺速，提升揮拍流暢度"
h177,5,3,3,4,4,"擊球時可加快手臂擺速，提升揮拍流暢度，擊球時手腕可再多轉動一些"
h178,2,3,2,3,2,"握拍錯誤，揮拍動作缺少引拍動作，擊球時手腕使用較少，擊球點誤差大"
h179,4,4,4,4,2,"擊球點太低，影響揮拍軌跡正確性"
h180,4,2,2,2,2,"揮拍動作不流暢，擊球時手腕使用較少，擊球時間及位置誤差大"
h181,5,4,4,4,4,"擊球時可加快手臂擺速，提升揮拍流暢度"
h182,3,2,2,2,2,"揮拍不夠流暢，擊球時手腕使用較少，擊球時間及位置誤差大"
h183,3,3,2,3,2,"握拍錯誤，揮拍動作缺少引拍動作，擊球時手腕使用較少，擊球位置誤差大"
h184,3,2,1,1,2,"握拍錯誤，揮拍動作缺少引拍動作，擊球時未使用手腕，擊球時間及位置誤差大"
h185,5,2,4,4,4,"擊球時可加快手臂擺速，提升揮拍流暢度"
h186,4,3,3,4,4,"揮拍動作不夠完整，可再加強引拍動作"
h187,5,5,5,5,5,"標準"
h188,4,4,4,4,4,"揮拍動作不夠完整，可再加強引拍動作及側身"
h189,5,4,4,3,3,"擊球時間點及位置可再更精準一些"
h190,5,5,5,5,5,"標準"
h191,5,5,5,5,5,"標準"
h192,4,4,3,4,4,"揮拍動作可再加強引拍動作，讓動作更完整，擊球時手腕可多轉動一些"
h193,4,4,4,4,2,"擊球位置誤差較大"
h194,5,5,5,5,5,"標準"
h195,5,4,4,5,5,"可再提升揮拍流暢度"
h196,5,5,5,5,5,"標準"
h197,4,5,4,5,5,"有幾顆球手腕轉動不夠，揮拍動作可再加強引拍動作，讓動作更完整"
h198,5,5,5,5,5,"標準"
h199,4,4,4,4,3,"揮拍動作可再加強引拍動作，增加動作完整性，擊球點不固定，動作常常跑掉，進而影響擊球"
h200,4,3,1,4,4,"揮拍動作不夠完整，缺少引拍動作，揮拍動作不夠流暢，擊球時未使用手腕"
h201,4,5,4,5,5,"揮拍動作不夠完整，沒有順勢下收，手腕轉動可再多一點"
h202,3,3,2,4,3,"揮拍動作不夠完整，缺少引拍動作，揮拍可加快手臂擺速，提升揮拍流暢度，擊球時手腕使用太少，擊球位置誤差大"
h203,5,5,5,5,5,"標準"
